;ID User;Action Name;ID Level;ID Mission;Booster 1;Booster 2;Booster 3;Leftover Moves;;;;;;;;
69;aa033ab997ca;missionFailed;49;9490cea4a212;0;0;0;NA;;;;;;;;
70;aa033ab997ca;missionStarted;49;04512397da25;0;0;0;NA;;;;;;;;
71;aa033ab997ca;missionCompleted;49;04512397da25;0;0;0;9;;;;;;;;
72;aa033ab997ca;missionStarted;50;a644864f307a;0;0;0;NA;;;;;;;;
73;aa033ab997ca;missionCompleted;50;a644864f307a;0;0;0;9;;;;;;;;
74;aa033ab997ca;missionStarted;51;9f32a4e6841e;0;0;0;NA;;;;;;;;
75;aa033ab997ca;missionFailed;51;9f32a4e6841e;0;0;0;NA;;;;;;;;
76;aa033ab997ca;missionStarted;51;673318084cc2;0;0;0;NA;;;;;;;;
77;aa033ab997ca;missionFailed;51;673318084cc2;0;0;0;NA;;;;;;;;
78;aa033ab997ca;missionStarted;51;15d2304d7575;0;0;0;NA;;;;;;;;
79;aa033ab997ca;missionFailed;51;15d2304d7575;0;0;0;NA;;;;;;;;
80;aa033ab997ca;missionStarted;51;ad29484ffa44;0;0;0;NA;;;;;;;;
81;aa033ab997ca;missionCompleted;51;ad29484ffa44;0;0;0;9;;;;;;;;
82;aa033ab997ca;missionStarted;52;e301350837c8;0;0;0;NA;;;;;;;;
83;aa033ab997ca;missionCompleted;52;e301350837c8;0;0;0;5;;;;;;;;
84;aa033ab997ca;missionStarted;53;8f9b5fbbaaf8;0;0;0;NA;;;;;;;;
85;aa033ab997ca;missionCompleted;53;8f9b5fbbaaf8;0;0;0;11;;;;;;;;
86;aa033ab997ca;missionStarted;54;81fe91ccb21c;0;0;0;NA;;;;;;;;
87;aa033ab997ca;missionCompleted;54;81fe91ccb21c;0;0;0;9;;;;;;;;
88;aa033ab997ca;missionStarted;55;f1987b594596;0;0;0;NA;;;;;;;;
89;aa033ab997ca;missionCompleted;55;f1987b594596;0;0;0;1;;;;;;;;
90;aa033ab997ca;missionStarted;56;ba562829a9d6;0;0;0;NA;;;;;;;;
91;aa033ab997ca;missionCompleted;56;ba562829a9d6;0;0;0;7;;;;;;;;
92;aa033ab997ca;missionStarted;57;f6fb37a5c288;0;0;0;NA;;;;;;;;
93;aa033ab997ca;missionFailed;57;f6fb37a5c288;0;0;0;NA;;;;;;;;
94;aa033ab997ca;missionStarted;57;0f5b69198a7c;0;0;0;NA;;;;;;;;
95;aa033ab997ca;missionFailed;57;0f5b69198a7c;0;0;0;NA;;;;;;;;
96;aa033ab997ca;missionStarted;57;30f9b775dfbe;0;1;0;NA;;;;;;;;
97;aa033ab997ca;missionCompleted;57;30f9b775dfbe;0;1;0;14;;;;;;;;
98;aa033ab997ca;missionStarted;58;cbf673900910;0;0;0;NA;;;;;;;;
99;aa033ab997ca;missionCompleted;58;cbf673900910;0;0;0;0;;;;;;;;
100;aa033ab997ca;missionStarted;59;a673e1c12b2a;0;0;0;NA;;;;;;;;
101;aa033ab997ca;missionCompleted;59;a673e1c12b2a;0;0;0;4;;;;;;;;
102;aa033ab997ca;missionStarted;60;2be1e3dc5f3a;0;0;0;NA;;;;;;;;
103;aa033ab997ca;missionCompleted;60;2be1e3dc5f3a;0;0;0;4;;;;;;;;
104;aa033ab997ca;missionStarted;61;620d0bb97e4f;0;0;0;NA;;;;;;;;
105;aa033ab997ca;missionFailed;61;620d0bb97e4f;0;0;0;NA;;;;;;;;
106;aa033ab997ca;missionStarted;61;c28df46f4a02;0;0;0;NA;;;;;;;;
107;aa033ab997ca;missionCompleted;61;c28df46f4a02;0;0;0;2;;;;;;;;
108;aa033ab997ca;missionStarted;62;d128cb19cae6;0;0;0;NA;;;;;;;;
109;aa033ab997ca;missionFailed;62;d128cb19cae6;0;0;0;NA;;;;;;;;
110;aa033ab997ca;missionStarted;62;f9738e55b5bc;0;0;0;NA;;;;;;;;
111;aa033ab997ca;missionCompleted;62;f9738e55b5bc;0;0;0;1;;;;;;;;
112;aa033ab997ca;missionStarted;63;704093b93816;0;0;0;NA;;;;;;;;
113;aa033ab997ca;missionCompleted;63;704093b93816;0;0;0;16;;;;;;;;
114;aa033ab997ca;missionStarted;64;8c5b0dc470c7;0;0;0;NA;;;;;;;;
115;aa033ab997ca;missionFailed;64;8c5b0dc470c7;0;0;0;NA;;;;;;;;
116;aa033ab997ca;missionStarted;64;51bede8d9e2c;0;0;0;NA;;;;;;;;
117;aa033ab997ca;missionFailed;64;51bede8d9e2c;0;0;0;NA;;;;;;;;
118;aa033ab997ca;missionStarted;64;a7ad7102e27a;0;1;0;NA;;;;;;;;
119;aa033ab997ca;missionCompleted;64;a7ad7102e27a;0;1;0;2;;;;;;;;
120;aa033ab997ca;missionStarted;65;9126c3b9c320;0;0;0;NA;;;;;;;;
121;aa033ab997ca;missionFailed;65;9126c3b9c320;0;0;0;NA;;;;;;;;
122;aa033ab997ca;missionStarted;65;11f583910328;0;0;0;NA;;;;;;;;
123;aa033ab997ca;missionFailed;65;11f583910328;0;0;0;NA;;;;;;;;
124;aa033ab997ca;missionStarted;65;a96c550427e4;0;0;1;NA;;;;;;;;
125;aa033ab997ca;missionCompleted;65;a96c550427e4;0;0;1;19;;;;;;;;
126;aa033ab997ca;missionStarted;66;972888fc820f;0;0;0;NA;;;;;;;;
127;aa033ab997ca;missionCompleted;66;972888fc820f;0;0;0;7;;;;;;;;
128;aa033ab997ca;missionStarted;67;963c4792250e;0;0;0;NA;;;;;;;;
129;aa033ab997ca;missionStarted;67;a971e392c187;0;0;0;NA;;;;;;;;
130;aa033ab997ca;missionFailed;67;a971e392c187;0;0;0;NA;;;;;;;;
131;aa033ab997ca;missionStarted;67;fc54522fe35a;0;0;0;NA;;;;;;;;
132;aa033ab997ca;missionFailed;67;fc54522fe35a;0;0;0;NA;;;;;;;;
133;aa033ab997ca;missionStarted;67;2b96ac616246;0;0;0;NA;;;;;;;;
134;aa033ab997ca;missionFailed;67;2b96ac616246;0;0;0;NA;;;;;;;;
135;aa033ab997ca;useContinue;67;2b96ac616246;NA;NA;NA;NA;;;;;;;;
136;aa033ab997ca;missionCompleted;67;2b96ac616246;0;0;0;3;;;;;;;;
137;aa033ab997ca;missionStarted;68;c1e720221235;0;0;0;NA;;;;;;;;
138;aa033ab997ca;missionCompleted;68;c1e720221235;0;0;0;5;;;;;;;;
139;aa033ab997ca;missionStarted;69;9eb7972b173f;0;0;0;NA;;;;;;;;
140;aa033ab997ca;missionFailed;69;9eb7972b173f;0;0;0;NA;;;;;;;;
141;aa033ab997ca;missionStarted;69;36731019c3bb;0;0;0;NA;;;;;;;;
142;aa033ab997ca;missionFailed;69;36731019c3bb;0;0;0;NA;;;;;;;;
143;aa033ab997ca;missionStarted;69;384498a205ac;0;0;0;NA;;;;;;;;
144;aa033ab997ca;missionStarted;70;50b09e61aae4;0;0;0;NA;;;;;;;;
145;aa033ab997ca;missionCompleted;70;50b09e61aae4;0;0;0;6;;;;;;;;
146;994ccd71a1dc;missionStarted;40;70631af742d0;0;0;0;NA;;;;;;;;
147;994ccd71a1dc;missionFailed;40;70631af742d0;0;0;0;NA;;;;;;;;
148;994ccd71a1dc;missionStarted;40;eeeee1a8900b;0;0;1;NA;;;;;;;;
149;994ccd71a1dc;missionFailed;40;eeeee1a8900b;0;0;1;NA;;;;;;;;
150;994ccd71a1dc;missionStarted;40;c1939682fe22;0;0;1;NA;;;;;;;;
151;994ccd71a1dc;missionFailed;40;c1939682fe22;0;0;1;NA;;;;;;;;
152;994ccd71a1dc;missionStarted;40;23af425731f5;0;0;1;NA;;;;;;;;
153;994ccd71a1dc;missionFailed;40;23af425731f5;0;0;1;NA;;;;;;;;
154;994ccd71a1dc;missionStarted;40;b52679a8128d;0;0;1;NA;;;;;;;;
155;994ccd71a1dc;missionFailed;40;b52679a8128d;0;0;1;NA;;;;;;;;
156;994ccd71a1dc;missionStarted;40;2e8f9b157463;0;0;0;NA;;;;;;;;
157;994ccd71a1dc;missionStarted;40;785f30fa4966;0;0;0;NA;;;;;;;;
158;994ccd71a1dc;missionCompleted;40;785f30fa4966;0;0;0;0;;;;;;;;
159;994ccd71a1dc;missionStarted;41;f38993bafe7f;0;0;0;NA;;;;;;;;
160;994ccd71a1dc;missionFailed;41;f38993bafe7f;0;0;0;NA;;;;;;;;
161;994ccd71a1dc;missionStarted;41;059ddce216f5;0;0;0;NA;;;;;;;;
162;994ccd71a1dc;missionCompleted;41;059ddce216f5;0;0;0;2;;;;;;;;
163;994ccd71a1dc;missionStarted;42;a0f8af7a0561;0;0;0;NA;;;;;;;;
164;994ccd71a1dc;missionFailed;42;a0f8af7a0561;0;0;0;NA;;;;;;;;
165;994ccd71a1dc;missionStarted;42;2e29dd35eb4f;0;0;0;NA;;;;;;;;
166;994ccd71a1dc;missionFailed;42;2e29dd35eb4f;0;0;0;NA;;;;;;;;
167;994ccd71a1dc;missionStarted;42;986f0993e06d;0;0;0;NA;;;;;;;;
168;994ccd71a1dc;missionAbandoned;42;986f0993e06d;0;0;0;NA;;;;;;;;
169;994ccd71a1dc;missionStarted;42;46e9df519459;0;0;0;NA;;;;;;;;
170;994ccd71a1dc;missionFailed;42;46e9df519459;0;0;0;NA;;;;;;;;
